EPA Ecoregion,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,iqr,median
NORTH AMERICAN DESERTS,18.69815766,19.02307253,19.22012582,18.42268677,18.51672377,18.13624595,18.09000397,19.75577938,18.2846028,19.2852065,19.29198861,19.16698976,19.29679149,19.24680948,17.80448741,18.81597813,0.912363212,19.02307253
MEDITERRANEAN CALIFORNIA,21.74761911,21.88032699,22.24447477,22.2808591,22.08735865,20.90372646,21.0291774,22.36594237,22.58432,23.52443789,23.02398128,22.60388062,22.67810482,22.65208071,21.59225534,22.21323637,0.814007614,22.2808591
SOUTHERN SEMIARID HIGHLANDS,24.78137993,24.89354328,24.61187379,24.45947016,25.00338574,24.21627139,24.82403844,25.62193649,24.25297078,25.14859623,24.54298081,25.25199934,26.07832922,25.34617333,24.22170619,24.88364367,0.699072303,24.82403844
TEMPERATE SIERRAS,21.85431347,22.03470232,22.05264517,21.57131465,21.8575579,21.15451774,21.58693632,22.63778741,21.20959821,22.17792863,21.66285092,22.17571735,22.85044675,22.34934225,21.00693707,21.87883974,0.597697501,21.8575579
TROPICAL WET FORESTS,28.64805746,29.04014585,29.36915339,28.93222261,29.16877958,27.983528,29.53681386,28.9895686,28.98005436,29.0515946,29.78507341,29.12956659,29.38866843,29.33964506,29.76521366,29.14053903,0.39409943,29.12956659
NORTHERN FORESTS,11.73035565,12.26783539,11.40952124,10.59270731,10.40307157,12.14644815,11.43700535,12.89277752,10.37460533,9.565439452,11.46376204,12.15853929,11.29590469,10.74182338,10.11664048,11.23976246,1.44051246,11.40952124
NORTHWESTERN FORESTED MOUNTAINS,13.12347407,13.31993669,13.42187705,12.45870829,12.61122583,12.42627783,12.03444519,13.55625219,12.91064504,13.36901215,14.29001537,13.46393077,13.14450836,13.26747131,12.09852375,13.03308693,0.860477541,13.14450836
MARINE WEST COAST FOREST,16.11137671,16.02901757,15.4580482,15.25881422,15.73119487,15.18647051,14.66167264,15.34480159,15.7460851,16.90993304,17.40893604,16.37341025,15.89157964,16.32668137,15.76118332,15.87994701,0.817604146,15.76118332
EASTERN TEMPERATE FORESTS,19.82954181,20.2959658,20.13405556,19.25700945,18.91653689,19.65169471,20.03066667,20.98251045,18.8291425,18.4483929,19.76161881,20.52324542,20.28379054,19.43167635,19.71580046,19.73944322,0.864580148,19.76161881
GREAT PLAINS,18.36372166,19.16563578,17.82065988,17.34976501,17.07793565,17.4425519,18.00039994,19.91754203,17.08978793,16.98037821,18.37039166,18.9288912,18.56932535,17.28759447,16.49767454,17.92415035,1.281167304,17.82065988